Feature Name,Theme,Sub Theme,latitude,longitude,source_dataset
City Baths,Leisure/Recreation,Major Sports & Recreation Facility,-37.8071585350561,144.963189789721,City of Melbourne - Landmarks and places of interest
Carlton Gardens South,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8060684577258,144.971266479841,City of Melbourne - Landmarks and places of interest
Visy Park,Leisure/Recreation,Major Sports & Recreation Facility,-37.7834303940347,144.961982577553,City of Melbourne - Landmarks and places of interest
Batman Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8218460949601,144.956665812218,City of Melbourne - Landmarks and places of interest
Polly Woodside,Place Of Assembly,Art Gallery/Museum,-37.8242574266145,144.953478052064,City of Melbourne - Landmarks and places of interest
The Ian Potter Centre: NGV Australia,Place Of Assembly,Art Gallery/Museum,-37.8174831423197,144.969899048343,City of Melbourne - Landmarks and places of interest
AAMI Park,Leisure/Recreation,Major Sports & Recreation Facility,-37.8247252673963,144.98380297866,City of Melbourne - Landmarks and places of interest
Margaret Court Arena,Leisure/Recreation,Major Sports & Recreation Facility,-37.8213252086842,144.977591098955,City of Melbourne - Landmarks and places of interest
Riverslide Skate Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8207887122448,144.972951789291,City of Melbourne - Landmarks and places of interest
Royal Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7906174256581,144.953834240647,City of Melbourne - Landmarks and places of interest
Yarra Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.820469374101,144.986671109615,City of Melbourne - Landmarks and places of interest
Victoria Police Museum,Place Of Assembly,Art Gallery/Museum,-37.8222182774409,144.954039975197,City of Melbourne - Landmarks and places of interest
Melbourne Visitor Centre,Community Use,Visitor Centre,-37.8177352402006,144.967937138226,City of Melbourne - Landmarks and places of interest
Australian Centre For The Moving Image (ACMI),Place Of Assembly,Art Gallery/Museum,-37.8176107327202,144.969070431323,City of Melbourne - Landmarks and places of interest
