_id,activity_id,classification,end_date,location,notes,source_id,start_date,status,small_area,geo_point_2d,json_geometry_geometry,latitude,longitude,prototype_relevance,prototype_relevance_reason,source_dataset
282,SS-1060909-0-102105-EGA-Permit Issued-020420210700-100720222359,Structures,2022-07-10,"539-557 Collins Street
MELBOURNE VIC 3000",Gantry,EGA-2021-9,2021-04-02,CONFIRMED,Melbourne (CBD),"-37.81879090769978, 144.95636782962328","{""coordinates"": [[[144.9561932561, -37.8190105965], [144.9562593872, -37.8189919384], [144.9562842422, -37.8190462204], [144.9562848834, -37.8190460369], [144.9562873287, -37.819051371], [144.956717093, -37.8189274963], [144.9565293793, -37.8185171665], [144.9560115259, -37.8186663754], [144.9561722833, -37.8190165137], [144.9561932561, -37.8190105965]]], ""type"": ""Polygon""}",-37.81879090769978,144.95636782962328,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
283,SS-1101921-0-108538-ECW-Consent Issued-280120220700-280720221900,Structures,2022-07-28,"165 Russell Street
MELBOURNE VIC 3000",ePathway Consent for works,ECW-2022-17,2022-01-28,Confirmed,Melbourne (CBD),"-37.812453932678736, 144.96765388108358","{""coordinates"": [[[144.9677244641, -37.8123593865], [144.9676557784, -37.8123802673], [144.9675347541, -37.8124136135], [144.9674913197, -37.8124279098], [144.9675554696, -37.8125537463], [144.9675622784, -37.8125558545], [144.9677847189, -37.8124912043], [144.9677820322, -37.8124853283], [144.9678129531, -37.812476341], [144.9677553851, -37.8123503921], [144.9677244641, -37.8123593865]]], ""type"": ""Polygon""}",-37.812453932678736,144.96765388108358,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
284,SS-1106919-0-102498-EHD-Permit Issued-080320220700-080920221900,Structures,2022-09-08,"131-133 Domain Road
SOUTH YARRA VIC 3141",Hoarding,EHD-2022-11,2022-03-08,CONFIRMED,South Yarra,"-37.83411231570738, 144.9804972256715","{""coordinates"": [[[144.9803897664, -37.8342521643], [144.9805403464, -37.8342720509], [144.9806040868, -37.8339722174], [144.9804549954, -37.8339519329], [144.9803897664, -37.8342521643]]], ""type"": ""Polygon""}",-37.83411231570738,144.9804972256715,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
285,SS-1111411-0-108571-ECW-Consent Issued-050520220700-130520221900,Structures,2022-05-13,"274 Russell Street
MELBOURNE VIC 3000",ePathway Consent for works,ECW-2022-119,2022-05-05,Confirmed,Melbourne (CBD),"-37.81001892279232, 144.9671262721701","{""coordinates"": [[[144.9672326082, -37.8100109359], [144.967214284, -37.8099713895], [144.9670199191, -37.8100268628], [144.9670384495, -37.810066466], [144.9672326082, -37.8100109359]]], ""type"": ""Polygon""}",-37.81001892279232,144.9671262721701,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
286,SS-1113109-0-106681-ESR-Further Information Requested-030520220700-031120221900,Structures,2022-11-03,"10-36 Haines Street
NORTH MELBOURNE VIC 3051",Space Occupancy on Roadway,ESR-2022-63,2022-05-03,PROPOSED,North Melbourne,"-37.79822716590868, 144.94781042468608","{""coordinates"": [[[144.9472290898, -37.797140572], [144.9471989236, -37.7971164587], [144.9471909297, -37.7971099715], [144.9469680297, -37.7983789443], [144.9487327318, -37.7985834761], [144.9487647023, -37.7983802843], [144.9487619238, -37.7983657721], [144.9484055128, -37.7980808964], [144.9470878163, -37.7979330248], [144.9472290898, -37.797140572]]], ""type"": ""Polygon""}",-37.79822716590868,144.94781042468608,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
287,SS-1097259-0-102950-CW-Permit Issued-100120220700-100720222359,Structures,2022-07-10,"Flagstaff City Inn
45-55 Dudley Street
WEST MELBOURNE VIC 3003",Consent for Works under RMA,CW-2021-53,2022-01-10,CONFIRMED,West Melbourne (Residential),"-37.81009345449901, 144.95103394228462","{""coordinates"": [[[144.951020721, -37.8103106055], [144.9512328449, -37.8102409265], [144.9512833723, -37.8102243282], [144.9510904799, -37.8098557178], [144.9507838033, -37.809971937], [144.9509758091, -37.8103256892], [144.951020721, -37.8103106055]]], ""type"": ""Polygon""}",-37.81009345449901,144.95103394228462,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
288,SS-1116337-0-103312-ESP-Pending Payment-110520220700-130520221900,Structures,2022-05-13,"222-260 Elizabeth Street
MELBOURNE VIC 3000",Space Occupancy on Footpath,ESP-2022-216,2022-05-11,PROPOSED,Melbourne (CBD),"-37.81260126289749, 144.96288424480184","{""coordinates"": [[[144.9631489773, -37.8127354852], [144.9630987357, -37.8126277673], [144.9633076817, -37.812568748], [144.9632621938, -37.8124715281], [144.9631999928, -37.81233407], [144.963091095, -37.8123659236], [144.9630119859, -37.8121962434], [144.9627767924, -37.812264547], [144.9627183509, -37.8122815198], [144.9624819603, -37.8123501698], [144.962681484, -37.8127859117], [144.962719639, -37.8128692395], [144.9628512225, -37.8131566048], [144.9630663036, -37.8130938451], [144.962929052, -37.8127976053], [144.9629829526, -37.8127824013], [144.9631489773, -37.8127354852]]], ""type"": ""Polygon""}",-37.81260126289749,144.96288424480184,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
289,WO-721357-1607054-1607054-61-Closed-100120220000-300620222359,Traffic Management,2022-06-30,Flinders Street between Swanston Street and Elizabeth Street,-,721357,2022-01-10,CONFIRMED,Melbourne (CBD),"-37.817574848339845, 144.96677667283856","{""coordinates"": [[[144.9671784192, -37.8174929299], [144.9672695925, -37.817467986], [144.9672431271, -37.817409852], [144.9668606295, -37.8175251004], [144.9668171315, -37.8175382067], [144.966814742, -37.8175389269], [144.9667765349, -37.8175504385], [144.9667383278, -37.8175619509], [144.9662686623, -37.8176899423], [144.9662927501, -37.817745568], [144.9663885826, -37.8177182306], [144.9663865949, -37.8177139148], [144.966385471, -37.8177113631], [144.9670794379, -37.8175134089], [144.9670805916, -37.8175159521], [144.9670826549, -37.8175202467], [144.9671784192, -37.8174929299]]], ""type"": ""Polygon""}",-37.817574848339845,144.96677667283856,Excluded,Excluded because source classification is Traffic Management.,City of Melbourne – City Activities and Planned Works
290,SS-1112945-0-108936-EGA-Pending Payment-290420220700-280520222359,Structures,2022-05-28,"512-544 Spencer Street
WEST MELBOURNE VIC 3003",Gantry,EGA-2020-82/5,2022-04-29,PROPOSED,West Melbourne (Residential),"-37.8078684547713, 144.94870279640725","{""coordinates"": [[[144.9492872731, -37.8079258007], [144.9490846631, -37.8077399959], [144.9489593638, -37.8076250882], [144.948769026, -37.8077549574], [144.9485050397, -37.8075093349], [144.9484677239, -37.807474614], [144.948137664, -37.807722716], [144.9482948273, -37.8078622807], [144.9484325714, -37.8079910983], [144.9487218736, -37.808269196], [144.9492872731, -37.8079258007]]], ""type"": ""Polygon""}",-37.8078684547713,144.94870279640725,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
291,SS-1071870-0-100160-ECZ-Permit Issued-130120220700-130720221900,Structures,2022-07-13,"192-204 A'Beckett Street
MELBOURNE VIC 3000",Construction Zone,ECZ-2021-22,2022-01-13,CONFIRMED,Melbourne (CBD),"-37.80998006181764, 144.9574223537655","{""coordinates"": [[[144.9573118955, -37.8098444954], [144.9571967953, -37.8098536191], [144.9573328127, -37.8101575229], [144.9576529742, -37.8100654259], [144.9575568921, -37.8098615157], [144.9575433484, -37.8098541201], [144.9574842461, -37.8098592391], [144.9574779348, -37.8098610239], [144.9574616151, -37.8098322321], [144.9574299484, -37.8098349775], [144.9574295849, -37.8098324632], [144.9573783577, -37.8098363464], [144.9573118955, -37.8098444954]]], ""type"": ""Polygon""}",-37.80998006181764,144.9574223537655,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
292,SS-1117193-0-110148-ECW-Traffic & Infrastructure Review-160520220700-200520221900,Structures,2022-05-20,"98-110 William Street
MELBOURNE VIC 3000",ePathway Consent for works,ECW-2022-182,2022-05-16,Confirmed,Melbourne (CBD),"-37.81673226498997, 144.959127733036","{""coordinates"": [[[144.9594143034, -37.8168259824], [144.9592705245, -37.8165156933], [144.9588417221, -37.8166358274], [144.9589861639, -37.8169506956], [144.9594143034, -37.8168259824]]], ""type"": ""Polygon""}",-37.81673226498997,144.959127733036,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
293,WO-887522-1422533-1422533-61-Closed-100120220000-300620222359,Traffic Management,2022-06-30,Little La Trobe Street between Swanston Street and Elizabeth Street,-,887522,2022-01-10,CONFIRMED,Melbourne (CBD),"-37.80938931874919, 144.96232838698205","{""coordinates"": [[[144.9634001154, -37.8090619691], [144.9633440485, -37.8090780659], [144.9633374887, -37.8090771612], [144.9633322361, -37.809071429], [144.9633295956, -37.8090708768], [144.9630951852, -37.8091389605], [144.9630475058, -37.8091645096], [144.9628286987, -37.8092282396], [144.9628204772, -37.8092277053], [144.9628152023, -37.8092219574], [144.962812563, -37.8092214044], [144.9617679698, -37.8095253937], [144.9616877858, -37.8095539473], [144.9612583919, -37.8096763966], [144.9612771195, -37.8097199061], [144.9629181996, -37.8092425369], [144.9634155445, -37.8090976648], [144.9634001154, -37.8090619691]]], ""type"": ""Polygon""}",-37.80938931874919,144.96232838698205,Excluded,Excluded because source classification is Traffic Management.,City of Melbourne – City Activities and Planned Works
294,SS-1053906-0-101233-ECZ-Permit Issued-300420220000-300820221900,Structures,2022-08-30,"20-30 Bourke Street
MELBOURNE VIC 3000",Construction Zone,ECZ-2020-66,2022-04-30,CONFIRMED,Melbourne (CBD),"-37.811159561739146, 144.97215304017246","{""coordinates"": [[[144.9719732594, -37.8108841089], [144.9719259885, -37.8108972035], [144.9719537309, -37.8109576727], [144.9720385617, -37.8111436237], [144.9720498707, -37.8111691154], [144.9720046685, -37.811182115], [144.9721351313, -37.8114635458], [144.9721795638, -37.8114506635], [144.9723928098, -37.8113888354], [144.9722961077, -37.8111792586], [144.9722267446, -37.811022502], [144.9722063321, -37.8109772646], [144.9721430705, -37.8108370676], [144.9719732594, -37.8108841089]]], ""type"": ""Polygon""}",-37.811159561739146,144.97215304017246,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
295,SS-1106635-0-111394-EGA-Application Lodged-010420220700-300920221900,Structures,2022-09-30,"16 Russell Place
MELBOURNE VIC 3000",Gantry,EGA-2022-11,2022-04-01,PROPOSED,Melbourne (CBD),"-37.81354117994898, 144.96743350941398","{""coordinates"": [[[144.9674514661, -37.8133590611], [144.9674370048, -37.813327118], [144.9674090831, -37.813335208], [144.967406546, -37.8133303852], [144.9673695905, -37.8133412418], [144.967247312, -37.813375315], [144.9674021046, -37.8137241678], [144.9675312035, -37.8136867913], [144.9675750231, -37.813785547], [144.9676376942, -37.813767403], [144.9675886203, -37.8136602523], [144.9675685462, -37.8136161762], [144.967471872, -37.8134039161], [144.9674552072, -37.8133673272], [144.9674514661, -37.8133590611]]], ""type"": ""Polygon""}",-37.81354117994898,144.96743350941398,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
